voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Taylor Rooks,Bleacher Report,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Bontemps,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Reynolds,Associated Press,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","McConnell, T.J. (IND)","Murray, Dejounte (SAS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Jones,The Athletic,"Green, Draymond (GSW)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","O'Neale, Royce (UTA)","Capela, Clint (ATL)","Schroder, Dennis (LAL)","Green, Danny (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","George, Paul (LAC)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Harper,The Athletic,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Lowe,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amin Elhassan,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Larsen,Salt Lake Tribune,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antoni Daimiel,Movistar+,"Davis, Anthony (LAL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lowry, Kyle (TOR)","Paul, Chris (OKC)","Brown, Jaylen (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brad Townsend,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Lowry, Kyle (TOR)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (NOP)","Leonard, Kawhi (LAC)","Turner, Myles (IND)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Lowry, Kyle (TOR)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candace Parker,Turner,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Butler, Jimmy (MIA)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casey Stern,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Embiid, Joel (PHI)","George, Paul (LAC)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Leonard, Kawhi (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Fedor,Cleveland.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dunn, Kris (CHI)","Leonard, Kawhi (LAC)","Turner, Myles (IND)","Lopez, Brook (MIL)","James, LeBron (LAL)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Haynes,Yahoo! Sports,"Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Baynes, Aron (PHX)","Turner, Myles (IND)","Beverley, Patrick (LAC)","Murray, Dejounte (SAS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Hine,Minneapolis Star Tribune,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Davis, Anthony (LAL)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Holiday, Jrue (NOP)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Mannix,Sports Illustrated,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Butler, Jimmy (MIA)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Sasaki,Rakuten,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Lopez, Brook (MIL)","Lowry, Kyle (TOR)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connor Letourneau,San Francisco Chronicle,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coral Lu,ESPN-Tencent,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dunn, Kris (CHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Adebayo, Bam (MIA)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","DiVincenzo, Donte (MIL)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davide Chinellato,La Gazzetta dello Sport,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Scott,Turner,"Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Turner, Myles (IND)","Allen, Jarrett (BKN)","VanVleet, Fred (TOR)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diego Martinez,Reforma,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doris Burke,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duane Rankin,Arizona Republic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Harden, James (HOU)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Lillard, Damian (POR)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erik Horne,The Athletic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Holiday, Jrue (NOP)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernie Johnson,Turner,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Simmons, Ben (PHI)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Butler, Jimmy (MIA)","Paul, Chris (OKC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Davis, Anthony (LAL)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Washburn,Boston Globe,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Whiteside, Hassan (POR)","Beverley, Patrick (LAC)","Paul, Chris (OKC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Logan,Newsday,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Drummond, Andre (CLE)","Doncic, Luka (DAL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Porzingis, Kristaps (DAL)","Whiteside, Hassan (POR)","Westbrook, Russell (HOU)","Lowry, Kyle (TOR)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Greenberg,Turner,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Lowry, Kyle (TOR)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Smart, Marcus (BOS)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Quick,The Athletic,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff McDonald,San Antonio Express-News,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Cowley,Chicago Sun-Times,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Dunn, Kris (CHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Simmons, Ben (PHI)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Davis, Anthony (LAL)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Robbins,The Athletic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2020,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
