voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Gary Washburn,Boston Globe,"Atkinson, Kenny (Brooklyn Nets)","Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)",2019,COY
Greg Anthony,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Guillermo Schutz,Televisa,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Howard Beck,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)","Rivers, Doc (LA Clippers)",2019,COY
Jackie MacMullan,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Jalen Rose,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Nurse, Nick (Toronto Raptors)",2019,COY
Jared Greenberg,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Jason Anderson,Sacramento Bee,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Jeff McDonald,San Antonio Express‐News,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2019,COY
Jeff Zillgitt,USA Today,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Joe Freeman,The Oregonian,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Joe Vardon,The Athletic,"Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)","Budenholzer, Mike (Milwaukee Bucks)",2019,COY
John Schuhmann,NBA.com,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Jon Barry,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Josh Robbins,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Rivers, Doc (LA Clippers)",2019,COY
Justin Termine,Sirius Radio,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
K.C. Johnson,Chicago Tribune,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Keith Pompey,Philadelphia Inqurier and Daily News,"Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)","Malone, Mike (Denver Nuggets)",2019,COY
Kelly Iko,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Kennegh Lau,BesTV,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Kevin Arnovitz,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Kevin Harlan,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Kevin O'Connor,The Ringer,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Kevin Pelton,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Kristen Ledlow,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Kurt Helin,NBCSports.com,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Lisa Hsu,Tencent,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Popovich, Gregg (San Antonio Spurs)",2019,COY
Marc Kestecher,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Mark Jackson,ESPN,"Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2019,COY
Mark Jones,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Marv Albert,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Massimo Lopes Pegna,La Gazzetta dello Sport,"Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)","Malone, Mike (Denver Nuggets)",2019,COY
Matt Velazquez,Milwaukee Journal Sentinel,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Matt Winer,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Clifford, Steve (Orlando Magic)",2019,COY
Maxime Malet,L'Equipe,"Atkinson, Kenny (Brooklyn Nets)","Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)",2019,COY
Michael Grange,Rogers Sportsnet,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Nurse, Nick (Toronto Raptors)",2019,COY
Michael Wilbon,ESPN,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)",2019,COY
Michelle Beadle,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Mike Breen,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Mike Singer,Denver Post,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Mirjam Swanson,Southern California News Group,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Nira Khurana,Perform,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Olgun Uluc,Fox Sports Australia,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Paul Flannery,SB Nation,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Rachel Nichols,ESPN,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","Popovich, Gregg (San Antonio Spurs)",2019,COY
Ramona Shelburne,ESPN,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Reggie Miller,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Reid Forgrave,CBSSports.com,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Ric Bucher,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Richard Walker,Gaston Gazette,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
