voter_name,affiliation,first,first_2,first_3,first_4,first_5,second,second_2,second_3,second_4,second_5,year,award
Ric Bucher,Bleacher Report,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","White, Coby (CHI)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","Porter, Michael Jr. (DEN)","Hunter, De'Andre (ATL)",2020,All-Rook
Ron Tillery,Memphis Commercial Appeal,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Cauley-Stein, Willie -- SAC","Portis, Bobby -- CHI","Kaminsky, Frank -- CHA",2016,All-Rook
Hubie Brown,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Winslow, Justise -- MIA","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Portis, Bobby -- CHI","Russell, D'Angelo -- LAL",2016,All-Rook
Ken Berger,CBSSports.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Booker, Devin -- PHX","Cauley-Stein, Willie -- SAC","Turner, Myles -- IND","Portis, Bobby -- CHI","Russell, D'Angelo -- LAL",2016,All-Rook
Jon Barry,ESPN Radio,"Towns, Karl-Anthony -- MIN","Turner, Myles -- IND","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA","Winslow, Justise -- MIA","Portis, Bobby -- CHI","Russell, D'Angelo -- LAL",2016,All-Rook
Adrian Chavarria,KEYH 850 AM,"Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Portis, Bobby -- CHI","Booker, Devin -- PHX","Marjanovic, Boban -- SA","Powell, Norman -- TOR","Turner, Myles -- IND",2016,All-Rook
Brian Mahoney,Associated Press,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Richardson, Josh -- MIA","Russell, D'Angelo -- LAL","Powell, Norman -- TOR","Jokic, Nikola -- DEN",2016,All-Rook
Lang Whitaker,NBA.com,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Chriss, Marquese (Pho.)","Embiid, Joel (Phi.)","Hield, Buddy (Sac.)","Hernangomez, Willy (N.Y.)","Brown, Jaylen (Bos.)","Ingram, Brandon (LA-L)","Prince, Taurean (Atl.)","McGruder, Rodney (Mia.)",2017,All-Rook
J Michael Falgoust,CSN Washington,"Brogdon, Malcolm (Mil.)","Hield, Buddy (Sac.)","Ferrell, Yogi (Dal.)","McGruder, Rodney (Mia.)","Saric, Dario (Phi.)","Brown, Jaylen (Bos.)","Embiid, Joel (Phi.)","Murray, Jamal (Den.)","Prince, Taurean (Atl.)","Chriss, Marquese (Pho.)",2017,All-Rook
Sam Amick,USA Today,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC","Richardson, Josh -- MIA","Winslow, Justise -- MIA",2016,All-Rook
