voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Ric Bucher,FS1,"Curry, Stephen (GSW)","Brunson, Jalen (NYK)","Fox, DeAaron (SAC)",2023,CPOY
Jovan Buha,The Athletic,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)",2023,CPOY
Doris Burke,ESPN,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Callie Caplan,Dallas Morning News,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Shams Charania,The Athletic/Stadium,"Irving, Kyrie (DAL)","Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)",2023,CPOY
Anthony Chiang,Miami Herald,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Damichael Cole,Memphis Commercial Appeal,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Irving, Kyrie (DAL)",2023,CPOY
Jamal Collier,ESPN,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Antoni Daimiel,Movistar+,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)",2023,CPOY
Dan Devine,Yahoo! Sports,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","DeRozan, DeMar (CHI)",2023,CPOY
Chris Fedor,Cleveland.com,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Mitchell, Donovan (CLE)",2023,CPOY
Aaron Fentress,The Oregonian,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Doncic, Luka (DAL)",2023,CPOY
Mike Ganter,The Toronto Sun,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Brian Geltzeiler,Sirius Radio,"Fox, DeAaron (SAC)","Gilgeous-Alexander, Shai (OKC)","Randle, Julius (NYK)",2023,CPOY
Vince Goodwill,Yahoo! Sports,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Tatum, Jayson (BOS)",2023,CPOY
Michael Grange,Rogers Sportsnet,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Jared Greenberg,WarnerMedia,"Fox, DeAaron (SAC)","Gilgeous-Alexander, Shai (OKC)","DeRozan, DeMar (CHI)",2023,CPOY
Mike Greenberg,ESPN,"Fox, DeAaron (SAC)","Gilgeous-Alexander, Shai (OKC)","Brunson, Jalen (NYK)",2023,CPOY
Will Guillory,The Athletic,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Gilgeous-Alexander, Shai (OKC)",2023,CPOY
Zach Harper,The Athletic,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)",2023,CPOY
Max Haupt,DPA,"Embiid, Joel (PHI)","Curry, Stephen (GSW)","Tatum, Jayson (BOS)",2023,CPOY
Kurt Helin,NBCSports.com,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Chris Herring,Sports Illustrated,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Adam Himmelsbach,Boston Globe,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","DeRozan, DeMar (CHI)",2023,CPOY
Cassidy Hubbarth,ESPN,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Kelly Iko,The Athletic,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Butler, Jimmy (MIA)",2023,CPOY
Frank Isola,Sirius Radio,"Fox, DeAaron (SAC)","Jokic, Nikola (DEN)","Brunson, Jalen (NYK)",2023,CPOY
Mark Jackson,ESPN,"Fox, DeAaron (SAC)","Gilgeous-Alexander, Shai (OKC)","Embiid, Joel (PHI)",2023,CPOY
Ernie Johnson,WarnerMedia,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Jason Jones,The Athletic,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Gilgeous-Alexander, Shai (OKC)",2023,CPOY
Madeline Kenney,Bay Area News Group,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Butler, Jimmy (MIA)",2023,CPOY
Marc Kestecher,ESPN,"Fox, DeAaron (SAC)","Gilgeous-Alexander, Shai (OKC)","Butler, Jimmy (MIA)",2023,CPOY
Andy Larsen,Salt Lake Tribune,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","DeRozan, DeMar (CHI)",2023,CPOY
Kristen Ledlow,WarnerMedia,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
Adam Lefkoe,WarnerMedia,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Curry, Stephen (GSW)",2023,CPOY
Brian Lewis,New York Post,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Zach Lowe,ESPN,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)",2023,CPOY
Brian Mahoney,Associated Press,"Doncic, Luka (DAL)","Lillard, Damian (POR)","Tatum, Jayson (BOS)",2023,CPOY
Rob Mahoney,The Ringer,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Chris Mannix,Sports Illustrated,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Butler, Jimmy (MIA)",2023,CPOY
Jeff McDonald,San Antonio Express-News,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
Dave McMenamin,ESPN,"Fox, DeAaron (SAC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)",2023,CPOY
Chao Meng,Tencent,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Yoko Miyaji,Sports Graphic Number,"Fox, DeAaron (SAC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)",2023,CPOY
Yoav Modai,Sport 5,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Gilgeous-Alexander, Shai (OKC)",2023,CPOY
Joe Mussatto,The Oklahoman,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Rachel Nichols,Showtime,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","DeRozan, DeMar (CHI)",2023,CPOY
Kevin O'Connor,The Ringer,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Mitchell, Donovan (CLE)",2023,CPOY
